Begin Time - msec	End Time - msec	Duration - msec	gaze s1	gaze s2	gaze s3	
290902	291657	755	background wall		
291657	293076	1419	face s3		
293076	298161	5085	body s3		
298161	298715	554	background floor	face s3	face s1
298718	300832	2114	face s3		face s1
300832	300997	165	body s3	gestures s3	face s1
300997	303681	2684	face s3		
303681	304622	941	background own body	face s3	background wall
304622	313374	8752	face s1		
313374	314919	1545	NA	face s1	face s1
314919	317036	2117	face s3		
317036	318687	1651	background wall		
318687	319721	1034	background ceiling	face s1	face s1
319721	320451	730	face s3	face s1	
320451	320679	228	background floor	face s1	body s1
320679	320817	138	body s3	face s1	body s1
320817	324198	3381	face s3		
324198	327243	3045	face s2		
327243	328326	1083	face s3	NA	
328326	328804	478	background floor		background floor
328804	330985	2181	face s3		background floor
330985	331162	177	NA	body s1	background floor
331162	332161	999	face s3	body s1	background floor
332161	332400	239	background floor	body s1	background floor
332400	335795	3395	face s3		
335795	343915	8120	NA		
343915	344846	931	face s3		
344846	347502	2656	background floor		
347502	349889	2387	face s3		face s1
349889	350179	290	NA	face s1	face s1
350179	350699	520	background wall	face s1	face s1
350704	351181	477	face s3	face s1	
351181	352127	946	face s2		face s2
352127	353480	1353	background wall		face s2
353480	353784	304	background ceiling		face s2
353784	355306	1522	background wall		face s2
355306	356285	979	face s2		face s2
356285	357926	1641	background wall		
357926	359218	1292	face s3		
359218	360528	1310	background wall	face s3	NA
360528	365599	5071	face s3	face s3	
365599	365966	367	background own body	face s3	face s1
365966	369533	3567	face s3		
369533	369726	193	background wall	face s3	face s1
369726	372353	2627	background eyes closed		
372353	376067	3714	background wall		
376067	376809	742	face s3		background wall
376809	377793	984	background window		
377793	379628	1835	background floor		face s1
379628	379967	339	background eyes closed	face s1	face s1
379970	380483	513	body s3	face s1	
380483	383042	2559	face s3 		
383042	383400	358	background eyes closed		face s1
383400	383846	446	background window	body s1	face s1
383846	384117	271	background wall	body s1	face s1
384117	385082	965	background window	body s1	
385082	387800	2718	face s3		
387800	388723	923	background window	body s1	face s1
388723	389520	797	background ceiling		face s1
389520	390414	894	background floor		face s1
390414	391233	819	background window		face s1
391233	392280	1047	background wall		face s1
392280	395357	3077	face s3		
395357	396119	762	background window		background wall
396119	396562	443	background wall	body s1	
396562	397158	596	body s3	body s1	NA
397158	398112	954	face s3		
398112	398648	536	face s2		
398649	401295	2646	face s3		
401295	402263	968	background wall		face s1
402263	402528	265	background window	body s1	face s1
402528	403944	1416	background eyes closed		
403944	404075	131	face s3	face s1	
404076	404676	600	face s2	face s1	face s1
404676	407380	2704	face s3		
407380	408124	744	background wall		
408124	409610	1486	face s3	face s3	
409610	409768	158	background wall	face s3	
409769	411619	1850	face s3		
411619	415810	4191	NA		
415810	424357	8547	face s2		
424357	425411	1054	face s3		
425411	426728	1317	face s2		
426728	427238	510	body s2		
427238	430324	3086	face s2		
430324	430558	234	body s2	face s1	face s2
430558	436961	6403	face s2		
436961	437962	1001	NA	face s1	
437962	438228	266	face s2	face s1	face s1
438228	439123	895	face s3		face s1
439123	439853	730	face s2	face s3	face s1
439853	442004	2151	face s3	face s3	
442006	444927	2921	face s2		
444927	447111	2184	background eyes closed		face s2
447111	447285	174	background wall	NA	face s2
447285	448453	1168	face s2	NA	
448453	449881	1428	NA		
449881	450037	156	face s3	background wall	body s1
450037	450847	810	NA		
450851	451160	309	face s2		face s2
451160	452755	1595	NA		
452755	453364	609	face s3	face s1	face s1
