label,function,tier,group,onset_s,offset_s,duration_s,data,game,game_par,participant,rater,onset_ms,offset_ms,duration_ms
game_action,no,game_action,novice,52.561,74.969,22.408,f1g1a_p1r1,1a,start,p1,r1,52561,74969,22408
game_action,no,game_action,novice,179.86,203.707,23.847,f1g1a_p1r1,1a,start,p1,r1,179860,203707,23847
gaze_down,no,gaze,novice,68.95,69.703,0.753,f1g1a_p1r1,1a,start,p1,r2,68950,69703,753
gaze_down,no,gaze,novice,270.144,270.67,0.526,f1g1a_p1r1,1a,start,p1,r2,270144,270670,526
gaze_free,no,gaze,novice,3.26,3.534,0.274,f1g1a_p1r1,1a,start,p1,r2,3260,3534,274
gaze_free,no,gaze,novice,117.67,118.35,0.68,f1g1a_p1r1,1a,start,p1,r2,117670,118350,680
gaze_free,no,gaze,novice,120.087,122.267,2.18,f1g1a_p1r1,1a,start,p1,r2,120087,122267,2180
gaze_free,no,gaze,novice,122.267,122.427,0.16,f1g1a_p1r1,1a,start,p1,r2,122267,122427,160
gaze_free,no,gaze,novice,122.989,123.669,0.68,f1g1a_p1r1,1a,start,p1,r2,122989,123669,680
gaze_free,no,gaze,novice,124.376,124.996,0.62,f1g1a_p1r1,1a,start,p1,r2,124376,124996,620
gaze_free,no,gaze,novice,126.476,130.736,4.26,f1g1a_p1r1,1a,start,p1,r2,126476,130736,4260
gaze_free,no,gaze,novice,137.881,138.512,0.631,f1g1a_p1r1,1a,start,p1,r2,137881,138512,631
gaze_free,no,gaze,novice,138.512,139.132,0.62,f1g1a_p1r1,1a,start,p1,r2,138512,139132,620
gaze_free,no,gaze,novice,258.875,261.337,2.462,f1g1a_p1r1,1a,start,p1,r2,258875,261337,2462
gaze_free,no,gaze,novice,270.67,271.534,0.864,f1g1a_p1r1,1a,start,p1,r2,270670,271534,864
gaze_to_gameT,no,gaze,novice,15.844,23.8,7.956,f1g1a_p1r1,1a,start,p1,r2,15844,23800,7956
gaze_to_gameT,no,gaze,novice,32.281,44.723,12.442,f1g1a_p1r1,1a,start,p1,r2,32281,44723,12442
gaze_to_gameT,no,gaze,novice,64.58,68.517,3.937,f1g1a_p1r1,1a,start,p1,r2,64580,68517,3937
gaze_to_gameT,no,gaze,novice,70.542,73.569,3.027,f1g1a_p1r1,1a,start,p1,r2,70542,73569,3027
gaze_to_gameT,no,gaze,novice,75.569,82.723,7.154,f1g1a_p1r1,1a,start,p1,r2,75569,82723,7154
gaze_to_gameT,no,gaze,novice,83.003,90.328,7.325,f1g1a_p1r1,1a,start,p1,r2,83003,90328,7325
gaze_to_gameT,no,gaze,novice,91.328,92.569,1.241,f1g1a_p1r1,1a,start,p1,r2,91328,92569,1241
gaze_to_gameT,no,gaze,novice,93.538,93.898,0.36,f1g1a_p1r1,1a,start,p1,r2,93538,93898,360
gaze_to_gameT,no,gaze,novice,94.858,98.047,3.189,f1g1a_p1r1,1a,start,p1,r2,94858,98047,3189
gaze_to_gameT,no,gaze,novice,99.487,108.556,9.069,f1g1a_p1r1,1a,start,p1,r2,99487,108556,9069
gaze_to_gameT,no,gaze,novice,109.276,114.111,4.835,f1g1a_p1r1,1a,start,p1,r2,109276,114111,4835
gaze_to_gameT,no,gaze,novice,133.716,134.695,0.979,f1g1a_p1r1,1a,start,p1,r2,133716,134695,979
gaze_to_gameT,no,gaze,novice,135.909,137.881,1.972,f1g1a_p1r1,1a,start,p1,r2,135909,137881,1972
gaze_to_gameT,no,gaze,novice,149.612,166.095,16.483,f1g1a_p1r1,1a,start,p1,r2,149612,166095,16483
gaze_to_gameT,no,gaze,novice,175.095,182.106,7.011,f1g1a_p1r1,1a,start,p1,r2,175095,182106,7011
gaze_to_gameT,no,gaze,novice,186.14,191.513,5.373,f1g1a_p1r1,1a,start,p1,r2,186140,191513,5373
gaze_to_gameT,no,gaze,novice,194.879,196.039,1.16,f1g1a_p1r1,1a,start,p1,r2,194879,196039,1160
gaze_to_gameT,no,gaze,novice,197.025,198.33,1.305,f1g1a_p1r1,1a,start,p1,r2,197025,198330,1305
gaze_to_gameT,no,gaze,novice,199.79,205.96,6.17,f1g1a_p1r1,1a,start,p1,r2,199790,205960,6170
gaze_to_gameT,no,gaze,novice,212.639,222.653,10.014,f1g1a_p1r1,1a,start,p1,r2,212639,222653,10014
gaze_to_gameT,no,gaze,novice,223.253,225.337,2.084,f1g1a_p1r1,1a,start,p1,r2,223253,225337,2084
gaze_to_gameT,no,gaze,novice,225.857,235.289,9.432,f1g1a_p1r1,1a,start,p1,r2,225857,235289,9432
gaze_to_gameT,no,gaze,novice,235.811,250.154,14.343,f1g1a_p1r1,1a,start,p1,r2,235811,250154,14343
gaze_to_gameT,no,gaze,novice,250.333,257.855,7.522,f1g1a_p1r1,1a,start,p1,r2,250333,257855,7522
gaze_to_gameT,no,gaze,novice,266.705,269.503,2.798,f1g1a_p1r1,1a,start,p1,r2,266705,269503,2798
gaze_to_gameT,no,gaze,novice,274.673,275.651,0.978,f1g1a_p1r1,1a,start,p1,r2,274673,275651,978
gaze_to_gameT,no,gaze,novice,276.834,276.999,0.165,f1g1a_p1r1,1a,start,p1,r2,276834,276999,165
gaze_to_home,no,gaze,novice,68.517,68.95,0.433,f1g1a_p1r1,1a,start,p1,r2,68517,68950,433
gaze_to_home,no,gaze,novice,69.703,70.542,0.839,f1g1a_p1r1,1a,start,p1,r2,69703,70542,839
gaze_to_home,no,gaze,novice,196.039,197.025,0.986,f1g1a_p1r1,1a,start,p1,r2,196039,197025,986
gaze_to_home,no,gaze,novice,235.289,235.811,0.522,f1g1a_p1r1,1a,start,p1,r2,235289,235811,522
gaze_to_object_other,no,gaze,novice,62.389,64.58,2.191,f1g1a_p1r1,1a,start,p1,r2,62389,64580,2191
gaze_to_objT,no,gaze,novice,2.273,3.26,0.987,f1g1a_p1r1,1a,start,p1,r2,2273,3260,987
gaze_to_objT,no,gaze,novice,12.072,13.022,0.95,f1g1a_p1r1,1a,start,p1,r2,12072,13022,950
gaze_to_objT,no,gaze,novice,24.99,26.703,1.713,f1g1a_p1r1,1a,start,p1,r2,24990,26703,1713
gaze_to_objT,no,gaze,novice,44.723,52.918,8.195,f1g1a_p1r1,1a,start,p1,r2,44723,52918,8195
gaze_to_objT,no,gaze,novice,53.183,62.389,9.206,f1g1a_p1r1,1a,start,p1,r2,53183,62389,9206
gaze_to_objT,no,gaze,novice,139.132,146.132,7,f1g1a_p1r1,1a,start,p1,r2,139132,146132,7000
gaze_to_objT,no,gaze,novice,182.106,186.14,4.034,f1g1a_p1r1,1a,start,p1,r2,182106,186140,4034
gaze_to_objT,no,gaze,novice,191.513,194.308,2.795,f1g1a_p1r1,1a,start,p1,r2,191513,194308,2795
gaze_to_objT,no,gaze,novice,261.337,266.705,5.368,f1g1a_p1r1,1a,start,p1,r2,261337,266705,5368
gaze_to_p2,no,gaze,novice,1.739,2.061,0.322,f1g1a_p1r1,1a,start,p1,r2,1739,2061,322
gaze_to_p2,no,gaze,novice,3.534,4.724,1.19,f1g1a_p1r1,1a,start,p1,r2,3534,4724,1190
gaze_to_p2,no,gaze,novice,6.104,6.424,0.32,f1g1a_p1r1,1a,start,p1,r2,6104,6424,320
gaze_to_p2,no,gaze,novice,7.12,7.838,0.718,f1g1a_p1r1,1a,start,p1,r2,7120,7838,718
gaze_to_p2,no,gaze,novice,11.814,12.072,0.258,f1g1a_p1r1,1a,start,p1,r2,11814,12072,258
gaze_to_p2,no,gaze,novice,13.402,15.844,2.442,f1g1a_p1r1,1a,start,p1,r2,13402,15844,2442
gaze_to_p2,no,gaze,novice,93.898,94.858,0.96,f1g1a_p1r1,1a,start,p1,r2,93898,94858,960
