label,function,tier,group,onset_s,offset_s,duration_s,data,game,game_par,participant,rater,onset_ms,offset_ms,duration_ms
sit_full,no,location,expert,0,360,360,f3g1a_p1r1,1,start,p1,1,0,360000,360000
gaze_to_gameT,no,gaze,expert,0,1.005,1.005,f3g1a_p1r2,1,start,p1,1,0,1005,1005
gaze_to_p5,no,gaze,expert,1.005,1.869,0.864,f3g1a_p1r3,1,start,p1,1,1005,1869,864
gaze_to_gameT,no,gaze,expert,1.869,2.895,1.026,f3g1a_p1r4,1,start,p1,1,1869,2895,1026
gaze_to_gameT,no,gaze,expert,2.895,3.469,0.574,f3g1a_p1r5,1,start,p1,1,2895,3469,574
gaze_to_p5,no,gaze,expert,3.469,3.774,0.305,f3g1a_p1r6,1,start,p1,1,3469,3774,305
gaze_free,no,gaze,expert,3.774,9.562,5.788,f3g1a_p1r7,1,start,p1,1,3774,9562,5788
gaze_to_gameT,no,gaze,expert,9.562,12.737,3.175,f3g1a_p1r8,1,start,p1,1,9562,12737,3175
gaze_down,no,gaze,expert,12.737,13.909,1.172,f3g1a_p1r9,1,start,p1,1,12737,13909,1172
gaze_to_gameT,no,gaze,expert,13.909,17.771,3.862,f3g1a_p1r10,1,start,p1,1,13909,17771,3862
gaze_to_object_other,no,gaze,expert,17.771,33.239,15.468,f3g1a_p1r11,1,start,p1,1,17771,33239,15468
gaze_to_camera,no,gaze,expert,33.239,33.368,0.129,f3g1a_p1r12,1,start,p1,1,33239,33368,129
gaze_up,no,gaze,expert,33.368,33.928,0.56,f3g1a_p1r13,1,start,p1,1,33368,33928,560
gaze_to_gameT,no,gaze,expert,33.928,46.14,12.212,f3g1a_p1r14,1,start,p1,1,33928,46140,12212
gaze_down,no,gaze,expert,46.14,50.216,4.076,f3g1a_p1r15,1,start,p1,1,46140,50216,4076
gaze_to_gameT,no,gaze,expert,50.216,75.811,25.595,f3g1a_p1r16,1,start,p1,1,50216,75811,25595
gaze_free,no,gaze,expert,75.811,76.952,1.141,f3g1a_p1r17,1,start,p1,1,75811,76952,1141
gaze_to_gameT,no,gaze,expert,76.952,96.646,19.694,f3g1a_p1r18,1,start,p1,1,76952,96646,19694
gaze_to_objT,no,gaze,expert,96.646,98.67,2.024,f3g1a_p1r19,1,start,p1,1,96646,98670,2024
