label,function,tier,group,onset_s,offset_s,duration_s,data,game,game_part,participant,rater,offset_ms,onset_ms,duration_ms
gaze_down,no,gaze,novice,3.716,5.356,1.64,f1g2a_p1r1,2a,start,p1,r2,5356,3716,1640
gaze_free,no,gaze,novice,6.312,7.753,1.441,f1g2a_p1r1,2a,start,p1,r2,7753,6312,1441
gaze_to_gameT,no,gaze,novice,0,0.18,0.18,f1g2a_p1r1,2a,start,p1,r2,180,0,180
gaze_to_gameT,no,gaze,novice,10.517,11.257,0.74,f1g2a_p1r1,2a,start,p1,r2,11257,10517,740
gaze_to_gameT,no,gaze,novice,12.697,14.709,2.012,f1g2a_p1r1,2a,start,p1,r2,14709,12697,2012
gaze_to_gameT,no,gaze,novice,15.409,15.829,0.42,f1g2a_p1r1,2a,start,p1,r2,15829,15409,420
gaze_to_gameT,no,gaze,novice,63.923,67.112,3.189,f1g2a_p1r1,2a,start,p1,r2,67112,63923,3189
gaze_to_objT,no,gaze,novice,5.356,6.312,0.956,f1g2a_p1r1,2a,start,p1,r2,6312,5356,956
gaze_to_objT,no,gaze,novice,7.753,8.114,0.361,f1g2a_p1r1,2a,start,p1,r2,8114,7753,361
gaze_to_objT,no,gaze,novice,15.829,51.88,36.051,f1g2a_p1r1,2a,start,p1,r2,51880,15829,36051
gaze_to_objT,no,gaze,novice,52.4,54.218,1.818,f1g2a_p1r1,2a,start,p1,r2,54218,52400,1818
gaze_to_objT,no,gaze,novice,57.798,60.889,3.091,f1g2a_p1r1,2a,start,p1,r2,60889,57798,3091
gaze_to_objT,no,gaze,novice,67.112,83.002,15.89,f1g2a_p1r1,2a,start,p1,r2,83002,67112,15890
gaze_to_p5,no,gaze,novice,2.691,3.076,0.385,f1g2a_p1r1,2a,start,p1,r2,3076,2691,385
gaze_to_p5,no,gaze,novice,3.076,3.716,0.64,f1g2a_p1r1,2a,start,p1,r2,3716,3076,640
gaze_to_p5,no,gaze,novice,8.114,10.517,2.403,f1g2a_p1r1,2a,start,p1,r2,10517,8114,2403
gaze_to_p5,no,gaze,novice,11.257,12.697,1.44,f1g2a_p1r1,2a,start,p1,r2,12697,11257,1440
gaze_to_p5,no,gaze,novice,14.709,15.409,0.7,f1g2a_p1r1,2a,start,p1,r2,15409,14709,700
gaze_to_p6,no,gaze,novice,0.18,2.691,2.511,f1g2a_p1r1,2a,start,p1,r2,2691,180,2511
gaze_to_p6,no,gaze,novice,51.88,52.4,0.52,f1g2a_p1r1,2a,start,p1,r2,52400,51880,520
gaze_to_p6,no,gaze,novice,54.218,57.798,3.58,f1g2a_p1r1,2a,start,p1,r2,57798,54218,3580
gaze_to_p6,no,gaze,novice,60.889,63.923,3.034,f1g2a_p1r1,2a,start,p1,r2,63923,60889,3034
mu_arm_left,self_focused_ub,upper_body,novice,29.828,30.558,0.73,f1g2a_p1r1,2a,start,p1,r1,30558,29828,730
mu_eyes_brows,self_focused_hf,head_face,novice,2.14,2.7,0.56,f1g2a_p1r1,2a,start,p1,r2,2700,2140,560
mu_eyes_brows,self_focused_hf,head_face,novice,39.537,39.916,0.379,f1g2a_p1r1,2a,start,p1,r2,39916,39537,379
mu_hand_left,self_focused_ub,upper_body,novice,5.468,7.824,2.356,f1g2a_p1r1,2a,start,p1,r1,7824,5468,2356
mu_hand_left,self_focused_ub,upper_body,novice,66.84,69.519,2.679,f1g2a_p1r1,2a,start,p1,r1,69519,66840,2679
mu_hand_left,self_focused_ub,upper_body,novice,77.534,78.388,0.854,f1g2a_p1r1,2a,start,p1,r1,78388,77534,854
mu_hand_right,self_focused_ub,upper_body,novice,15.485,20.542,5.057,f1g2a_p1r1,2a,start,p1,r1,20542,15485,5057
mu_hand_right,self_focused_ub,upper_body,novice,32.315,35.007,2.692,f1g2a_p1r1,2a,start,p1,r1,35007,32315,2692
mu_head,self_focused_hf,head_face,novice,4.482,5.302,0.82,f1g2a_p1r1,2a,start,p1,r2,5302,4482,820
mu_head,context_focused_hf,head_face,novice,5.302,6.662,1.36,f1g2a_p1r1,2a,start,p1,r2,6662,5302,1360
mu_head,context_focused_hf,head_face,novice,8.19,11.049,2.859,f1g2a_p1r1,2a,start,p1,r2,11049,8190,2859
mu_head,context_focused_hf,head_face,novice,15.803,16.591,0.788,f1g2a_p1r1,2a,start,p1,r2,16591,15803,788
mu_head,context_focused_hf,head_face,novice,19.851,20.348,0.497,f1g2a_p1r1,2a,start,p1,r2,20348,19851,497
mu_head,context_focused_hf,head_face,novice,21.244,22.454,1.21,f1g2a_p1r1,2a,start,p1,r2,22454,21244,1210
mu_head,context_focused_hf,head_face,novice,30.193,30.84,0.647,f1g2a_p1r1,2a,start,p1,r2,30840,30193,647
mu_head,context_focused_hf,head_face,novice,60.977,61.587,0.61,f1g2a_p1r1,2a,start,p1,r2,61587,60977,610
mu_head,context_focused_hf,head_face,novice,65.399,67.081,1.682,f1g2a_p1r1,2a,start,p1,r2,67081,65399,1682
mu_head,context_focused_hf,head_face,novice,67.081,69.681,2.6,f1g2a_p1r1,2a,start,p1,r2,69681,67081,2600
mu_ub_all,self_focused_ub,upper_body,novice,7.824,8.617,0.793,f1g2a_p1r1,2a,start,p1,r1,8617,7824,793
mu_ub_limb_both,self_focused_ub,upper_body,novice,4.223,5.468,1.245,f1g2a_p1r1,2a,start,p1,r1,5468,4223,1245
mu_ub_limb_left,self_focused_ub,upper_body,novice,65.016,66.84,1.824,f1g2a_p1r1,2a,start,p1,r1,66840,65016,1824
sit_full,no,location,novice,0,83,83,f1g2a_p1r1,2a,start,p1,r1,83000,0,83000
game_action,no,game_action,novice,70.397,83,12.603,f1g2a_p2r1,2a,start,p2,r1,70397,83000,12603
gaze_down,no,gaze,novice,5.822,6.182,0.36,f1g2a_p2r1,2a,start,p2,r2,5822,6182,360
gaze_free,no,gaze,novice,1.319,1.558,0.239,f1g2a_p2r1,2a,start,p2,r2,1319,1558,239
gaze_to_gameT,no,gaze,novice,1.558,2.358,0.8,f1g2a_p2r1,2a,start,p2,r2,1558,2358,800
gaze_to_gameT,no,gaze,novice,3.198,5.404,2.206,f1g2a_p2r1,2a,start,p2,r2,3198,5404,2206
gaze_to_gameT,no,gaze,novice,10.147,11.24,1.093,f1g2a_p2r1,2a,start,p2,r2,10147,11240,1093
gaze_to_gameT,no,gaze,novice,12.72,26.655,13.935,f1g2a_p2r1,2a,start,p2,r2,12720,26655,13935
gaze_to_gameT,no,gaze,novice,37.722,41.908,4.186,f1g2a_p2r1,2a,start,p2,r2,37722,41908,4186
gaze_to_gameT,no,gaze,novice,57.359,59.801,2.442,f1g2a_p2r1,2a,start,p2,r2,57359,59801,2442
gaze_to_gameT,no,gaze,novice,63.892,66.979,3.087,f1g2a_p2r1,2a,start,p2,r2,63892,66979,3087
gaze_to_gameT,no,gaze,novice,73.194,74.297,1.103,f1g2a_p2r1,2a,start,p2,r2,73194,74297,1103
gaze_to_objT,no,gaze,novice,6.182,8.087,1.905,f1g2a_p2r1,2a,start,p2,r2,6182,8087,1905
gaze_to_objT,no,gaze,novice,26.655,30.552,3.897,f1g2a_p2r1,2a,start,p2,r2,26655,30552,3897
